f1,f2,name,city,state,peak_elevation,base_elevation,vertical_drop,acres,trails,lifts,annual_snowfall,ticket_price,date_accessed,geocode,lat,lng
0,0,Cooper,Leadville,Colorado,"11,700","10,500",1200,400,39,4,260,52,"February 07, 2017","<[OK] Google - Geocode [The Pike and San Isabel National Forests & Cimarron and Comanche National Grasslands, 232 County Road 29, Leadville, CO 80461, USA]>",39.3607867,-106.3028081
1,1,Grand Targhee Resort,Alta,Wyoming,"10,121","7,851",2270,2602,99,5,500,80,"February 07, 2017","<[OK] Google - Geocode [Caribou-Targhee National Forest, 3300 Ski Hill Rd, Alta, WY 83414, USA]>",43.787113,-110.959296
2,2,Stratton Mountain Resort,Winhall,Vermont,"3,875","1,872",2003,670,97,11,180,92,"March 27, 2017","<[OK] Google - Geocode [Green Mountain and Finger Lakes National Forests, 5 Village Lodge Rd, South Londonderry, VT 05155, USA]>",43.1134411,-72.90813
3,3,Soldier Mountain,Fairfield,Idaho,"7,177","5,756",1400,1180,36,2,,40,"February 07, 2017","<[OK] Google - Geocode [Sawtooth National Forest, 1043 Soldier Creek Rd, Fairfield, ID 83327, USA]>",43.485512,-114.82938
4,4,Pomerelle Mountain Resort,Albion,Idaho,"9,000","8,000",1000,500,24,2,500,45,"February 07, 2017","<[OK] Google - Geocode [Sawtooth National Forest, 961 Howell Canyon Rd, Malta, ID 83342, USA]>",42.3179871,-113.6077523
5,5,Schweitzer,Sandpoint,Idaho,"6,400","2,400",4000,2900,92,7,300,77,"February 07, 2017","<[OK] Google - Geocode [10,000 Schweitzer Mountain Road, Selkirk Lodge, Sandpoint, ID 83864, United States]>",48.367287,-116.623398
6,6,Brundage Mountain,McCall,Idaho,"7,803","5,882",1921,1920,46,5,320,64,"February 07, 2017","<[OK] Google - Geocode [3890 Goose Lake Road, McCall, ID 83638, United States]>",45.0054,-116.154412
7,7,Bogus Basin,Boise,Idaho,"7,582","5,800",1800,2600,78,7,200,59,"February 07, 2017","<[OK] Google - Geocode [Bogus Basin, Idaho 83629, USA]>",43.7640569,-116.1026168
8,8,Sun Valley,Sun Valley,Idaho,"9,150","5,750",3400,2154,121,18,220,125,"February 07, 2017","<[OK] Google - Geocode [Sun Valley Rd, Sun Valley, ID 83353, USA]>",43.6964895,-114.3561968
9,9,Panorama Mountain Resort,Invermere,British Columbia,"7,792","3,773",4019,2847,120,10,196,92,"October, 2016","<[OK] Google - Geocode [2000 Panorama Dr, Panorama, BC V0A 1T0, Canada]>",50.460374,-116.238147
10,10,Whitefish Mountain Resort,Kalispell,Montana,"6,817","4,464",2353,3000,105,14,300,76,"October, 2016","<[OK] Google - Geocode [1015 Glades Dr, Whitefish, MT 59937, USA]>",48.4805905,-114.3503232
11,11,Arizona Snowbowl,Flagstaff,Arizona,"11,500","9,200",2300,777,40,7,260,69,"October, 2016","<[OK] Google - Geocode [Coconino National Forest, 9300 N Snowbowl Rd, Flagstaff, AZ 86001, USA]>",35.330886,-111.7103
12,12,Telluride Ski Resort,Telluride,Colorado,"13,150","8,725",4425,2000,147,18,309,86,"October, 2016","<[OK] Google - Geocode [Uncompahgre National Forest, 565 Mountain Village Blvd, Telluride, CO 81435, USA]>",37.9365202,-107.846386
13,13,Arapahoe Basin,Keystone,Colorado,"13,050","10,780",2270,960,109,8,350,109,"October, 2016","<[OK] Google - Geocode [28194 US-6, Keystone, CO 80435, USA]>",39.642312,-105.871685
14,14,Pajarito Mountain Ski Area,Los Alamos,New Mexico,"10,440","9,000",1440,300,40,6,163,49,"October, 2016","<[OK] Google - Geocode [Santa Fe National Forest, 397 Camp May Rd, Los Alamos, NM 87544, USA]>",35.8950144,-106.3909148
15,15,Taos Ski Valley,Taos,New Mexico,"12,481","9,200",3281,1294,110,15,305,98,"October, 2016","<[OK] Google - Geocode [Taos Ski Valley, NM 87525, USA]>",36.5959999,-105.4545
16,16,Ski Santa Fe,Santa Fe,New Mexico,"12,075","10,350",1725,660,79,7,225,75,"October, 2016","<[OK] Google - Geocode [Santa Fe National Forest, NM-475, Santa Fe, NM 87501, USA]>",35.796254,-105.802369
17,17,Big Sky Resort,Bozeman,Montana,"11,166","6,800",4350,5800,250,34,400,119,"October, 2016","<[OK] Google - Geocode [50 Big Sky Resort Rd, Big Sky, MT 59716, USA]>",45.2834361,-111.4003675
18,18,Jackson Hole Mountain Resort,Teton Village,Wyoming,"10,450","6,311",4139,2500,133,14,459,130,"October, 2016","<[OK] Google - Geocode [Bridger-Teton National Forest, 3395 Cody Ln, Teton Village, WY 83025, USA]>",43.5875205,-110.8278682
19,19,Loveland Ski Area,Georgetown,Colorado,"13,010","10,800",2210,1800,94,11,422,71,"October, 2016","<[OK] Google - Geocode [Arapaho National Forest, Dillon, CO 80435, USA]>",39.6800375,-105.8979465
20,20,Revelstoke Mountain Resort,Revelstoke,British Columbia,"7,300","1,680",5620,3121,69,5,430,95,"October, 2016","<[OK] Google - Geocode [2950 Camozzi Rd, Revelstoke, BC V0E 2S1, Canada]>",50.9583028,-118.1637752
21,21,Mount Ashland Ski Area,Ashland,Oregon,"7,533","6,383",1150,220,23,5,265,39,"October, 2016","<[OK] Google - Geocode [Rogue River-Siskiyou National Forest, 11 Mt Ashland Ski Rd, Ashland, OR 97520, USA]>",42.081685,-122.704754
22,22,Keystone Resort,Keystone,Colorado,"12,408","9,280",3128,3148,131,20,235,112,"October, 2016","<[OK] Google - Geocode [21996 US-6, Dillon, CO 80435, USA]>",39.6053315,-105.9765127
23,23,Breckenridge Ski Resort,Breckenridge,Colorado,"12,998","9,600",3398,2908,187,34,300,147,"October, 2016","<[OK] Google - Geocode [1599 Ski Hill Rd, Breckenridge, CO 80424, USA]>",39.4802271,-106.0666975
24,24,Squaw Valley,Truckee,California,"9,050","6,200",2850,3600,170,29,450,93,"October, 2016","<[OK] Google - Geocode [1960 Squaw Valley Rd, Olympic Valley, CA 96146, USA]>",39.197607,-120.2354422
25,25,Mammoth Mountain,Mammoth Lakes,California,"11,053","7,953",3100,3500,150,28,420,96,"April 20, 2012","<[OK] Google - Geocode [Mammoth Mountain, Mammoth Lakes, CA 93546, USA]>",37.6307692,-119.0326342
26,26,Heavenly Mountain Resort ,South Lake Tahoe,California,"10,067","7,200",3500,4800,94,30,360,82,"November 19, 2010","<[OK] Google - Geocode [Humboldt-Toiyabe National Forest, Heavenly Village, 4080 Lake Tahoe Blvd, South Lake Tahoe, CA 96150, USA]>",38.9568128,-119.9426539
27,27,Mount Shasta Ski Park,Mount Shasta,California,"9,200","7,800",1435,425,32,4,275,44,"April 20, 2012","<[OK] Google - Geocode [4500 Ski Park Hyway, McCloud, CA 96057, United States]>",41.321106,-122.203502
28,28,Alpine Meadows,Truckee,California,"8,637","6,835",1802,2400,,14,365,92,"April 20, 2012","<[OK] Google - Geocode [Alpine Meadow Camp, Truckee, CA 96161, USA]>",39.3205045,-120.1205206
29,29,Boreal,Soda Springs,California,"7,700","7,200",500,380,41,8,400,49,"April 20, 2012","<[OK] Google - Geocode [19749 Boreal Ridge Rd, Soda Springs, CA 95728, USA]>",39.3364539,-120.3498347
30,30,Donner Ski Ranch,Norden,California,"7,781","7,031",750,435,52,8,400,45,"April 20, 2012","<[OK] Google - Geocode [19320 Donner Pass Rd, Norden, CA 95724, USA]>",39.3182549,-120.3300825
31,31,Homewood,Homewood,California,"7,881","6,223",1658,1260,60,7,400,57,"April 20, 2012","<[OK] Google - Geocode [Homewood Mountain Resort, 5145 W Lake Blvd, Homewood, CA 96141, USA]>",39.0855833,-120.1605391
32,32,Kirkwood,Kirkwood,California,"9,800","7,800",2000,2300,65,15,500,79,"April 20, 2012","<[OK] Google - Geocode [Eldorado National Forest, 1501 Kirkwood Meadows Dr, Kirkwood, CA 95646, USA]>",38.6847514,-120.0651665
33,33,Northstar California,Truckee,California,"8,610","6,330",2280,2904,93,19,350,99,"April 20, 2012","<[OK] Google - Geocode [5001 Northstar Dr, Truckee, CA 96161, USA]>",39.2748395,-120.1206045
34,34,Sierra-at-Tahoe,Twin Bridges,California,"8,852","6,640",2212,2000,46,12,480,77,"April 20, 2012","<[OK] Google - Geocode [Eldorado National Forest, 1111 Sierra-At-Tahoe Rd, Twin Bridges, CA 95735, USA]>",38.7993502,-120.0809057
35,35,Sugar Bowl,Norden,California,"8,383","6,883",1500,1500,94,13,500,77,"April 20, 2012","<[OK] Google - Geocode [629 Sugar Bowl Rd, Norden, CA 95724, USA]>",39.3004435,-120.3334022
36,36,Soda Springs,Soda Springs,California,"7,325","6,673",652,200,15,2,400,36,"April 20, 2012","<[OK] Google - Geocode [10244 Soda Springs Rd, Norden, CA 95724, USA]>",39.3190022,-120.383946
37,37,Tahoe Donner,Truckee,California,"7,350","6,750",600,120,10,3,400,41,"April 20, 2012","<[OK] Google - Geocode [11509 Northwoods Blvd, Truckee, CA 96161, USA]>",39.3436502,-120.2148804
38,38,Badger Pass,Yosemite National Park,California,"8,000","7,200",800,90,10,5,300,42,"April 20, 2012","<[OK] Google - Geocode [Yosemite National Park, 7082 Glacier Point Rd, Yosemite National Park, CA 95389, USA]>",37.6622677,-119.6633655
39,39,Bear Valley,Angels Camp,California,"8,500","6,600",1900,1280,67,10,359,,"April 20, 2012","<[OK] Google - Geocode [Stanislaus National Forest, 2280 state Rte 207, Bear Valley, CA 95223, USA]>",38.4925588,-120.04422
40,40,Dodge Ridge,Sonora,California,"8,200","6,600",1600,832,62,12,300,,"April 20, 2012","<[OK] Google - Geocode [Stanislaus National Forest, 1 Dodge Ridge Rd, Pinecrest, CA 95364, USA]>",38.190033,-119.9572372
41,41,June Mountain,June Lake,California,"10,090","7,545",2590,500,35,7,250,,"April 20, 2012","<[OK] Google - Geocode [White Mountain Ranger Station, 3819 CA-158, June Lake, CA 93529, USA]>",37.7679169,-119.0906293
42,42,China Peak,Lakeshore,California,"8,709","7,030",1673,1200,45,11,300,,"April 20, 2012","<[OK] Google - Geocode [Sierra National Forest, 59265 CA-168, Lakeshore, CA 93634, USA]>",37.2365255,-119.1572742
43,43,Alta Sierra,Wofford Heights,California,"7,091","6,491",600,,6,2,80,40,"February 14, 2014","<[OK] Google - Geocode [Sequoia National Forest, 56700 Rancheria Rd, Wofford Heights, CA 93285, USA]>",35.7111811,-118.5602081
44,44,Buckhorn Ski and Snowboard Club,Three Points,California,"7,903","7,203",680,40,5,2,180,,"April 20, 2012","<[OK] Google - Geocode [58.33 mile marker, Angeles Crest Highway, Angeles National Forest, Pearblossom, CA 93553, United States]>",34.341899,-117.919709
45,45,Bear Mountain,Big Bear Lake,California,"8,805","7,104",1665,198,24,12,100,,"April 20, 2012","<[OK] Google - Geocode [San Bernardino National Forest, 43101 Goldmine Dr, Big Bear Lake, CA 92315, USA]>",34.229059,-116.860943
46,46,Mount Baldy Ski Lifts,Mount Baldy,California,"8,600","6,500",2100,800,26,4,170,,"April 20, 2012","<[OK] Google - Geocode [Angeles National Forest - San Gabriel Mountains National Monument, 8401 Mt Baldy Rd, Mt Baldy, CA 91759, USA]>",34.2700828,-117.6219104
47,47,Mount Waterman,Three Points,California,"8,030","7,000",1030,150,27,3,180,,"April 20, 2012","<[OK] Google - Geocode [Angeles National Forest - San Gabriel Mountains National Monument, California 2, La Cañada Flintridge, CA 93553, USA]>",34.3493069,-117.9287896
48,48,Mountain High,Wrightwood,California,"8,200","6,600",1600,290,59,13,132,59,"February 14, 2014","<[OK] Google - Geocode [Angeles National Forest - San Gabriel Mountains National Monument, 24510 CA-2, Wrightwood, CA 92397, USA]>",34.3769418,-117.6915242
49,49,Snow Summit,Big Bear Lake,California,"8,174","6,965",1209,240,30,14,100,,"April 20, 2012","<[OK] Google - Geocode [San Bernardino National Forest, 880 Summit Blvd, Big Bear Lake, CA 92315, USA]>",34.2366501,-116.888426
50,50,Snow Valley Mountain Resort,Running Springs,California,"7,841","6,800",1041,240,29,12,150,,"April 20, 2012","<[OK] Google - Geocode [San Bernardino National Forest, 35100 California 18, Running Springs, CA 92382, USA]>",34.2248821,-117.036177
51,51,Wolf Creek Ski Area,Pagosa Springs,Colorado,"11,904","10,300",1604,1600,77,7,465,,"April 20, 2012","<[OK] Google - Geocode [Top of Wolf Creek Pass, U.S. Hwy. 160 E., Pagosa Springs, CO 81147, United States]>",37.474759,-106.793583
52,52,Kicking Horse Resort,Golden,British Columbia,"8,033","3,900",4133,2750,106,3,275,73,"February 20, 2011","<[OK] Google - Geocode [Golden, BC V0A 1H2, Canada]>",51.2961188,-116.9631367
53,53,Eldora Mountain Resort ,Nederland,Colorado,"10,800","9,200",1600,680,53,12,300,69,"February 18, 2011","<[OK] Google - Geocode [Eldora Mountain Resort, Eldora Mountain Resort, 2861 Eldora Ski Rd #140,, Nederland, CO 80466, United States]>",39.9372203,-105.5826786
54,54,Alyeska Resort ,Girdwood,Alaska,"3,939",250,2500,1400,73,9,643,60,"November 18, 2010","<[OK] Google - Geocode [Chugach National Forest, 1000 Arlberg Ave, Girdwood, AK 99587, USA]>",60.9704446,-149.0987185
55,55,Marmot Basin ,Jasper,Alberta,"8,570","5,570",3000,1675,86,8,160,73.00,"November 18, 2010","<[OK] Google - Geocode [Jasper National Park, 1 Marmot Rd, Jasper, AB T0E 1E0, Canada]>",52.8011121,-118.0831592
56,56,Lake Louise Mountain Resort ,Lake Louise,Alberta,"8,650","5,400",3250,4200,139,9,180,84.95,"February 14, 2014","<[OK] Google - Geocode [Banff National Park, 111 Lake Louise Dr, Lake Louise, AB T0L 1E0, Canada]>",51.4177102,-116.2168765
57,57,Big White Ski Resort ,Kelowna,British Columbia,"7,606","4,950",2656,2800,118,16,294,76,"November 19, 2010","<[OK] Google - Geocode [5315 Big White Rd, Kelowna, BC V1P 1P3, Canada]>",49.7216277,-118.9265789
58,58,Silver Star Mountain Resort ,Vernon,British Columbia,"6,282","3,789",2500,3269,128,12,275,81,"April, 2015","<[OK] Google - Geocode [123 Shortt St, Silver Star Mountain, BC V1B 3M1, Canada]>",50.3597927,-119.0588592
59,59,Whistler Blackcomb ,Whistler,British Columbia,"7,494","2,140",5280,8171,200,37,404,93,"November 19, 2010","<[OK] Google - Geocode [4545 Blackcomb Way, Whistler, BC V0N 1B4, Canada]>",50.1149639,-122.9486474
60,60,Steamboat Springs ,Steamboat Springs,Colorado,"10,568","6,900",3668,2956,165,16,349,125,"January 30, 2015","<[OK] Google - Geocode [Steamboat Springs, CO 80487, USA]>",40.4849769,-106.8317158
61,61,Copper Mountain (Colorado) ,Frisco,Colorado,"12,313","9,712",2601,2450,126,22,282,74,"November 19, 2010","<[OK] Google - Geocode [184 Copper Cir, Frisco, CO 80443, USA]>",39.4999737,-106.1565266
62,62,Vail Ski Resort,Vail,Colorado,"11,570","8,120",3450,5289,195,31,346,97,,"<[OK] Google - Geocode [Vail, CO 81657, USA]>",39.6061444,-106.3549717
63,63,Beaver Creek,Avon,Colorado,"11,440","7,400",4040,1832,150,24,195,110,,"<[OK] Google - Geocode [Beaver Creek, Avon, CO 81620, USA]>",39.5855882,-106.5072225
64,64,Winter Park Resort,Winter Park,Colorado,"12,060","9,000",3060,3000,143,25,365,92,,"<[OK] Google - Geocode [Arapaho National Forest, 85 Parsenn Rd, Winter Park, CO 80482, USA]>",39.8868485,-105.762548
65,66,Boyne Mountain,Boyne City,Michigan,"1,120",620,500,41,60,10,140,59,,"<[OK] Google - Geocode [1 Boyne Mountain Rd, Boyne Falls, MI 49713, USA]>",45.163521,-84.930979
66,67,Mountain Creek,Vernon Township,New Jersey,"1,480",440,1040,200,41,8,65,62,,"<[OK] Google - Geocode [200 NJ-94, Vernon Township, NJ 07462, USA]>",41.1907552,-74.5051199
67,68,Blue Mountain,Collingwood,Ontario,"1,483",741,742,250,34,15,109,67,,"<[OK] Google - Geocode [156 Jozo Weider Blvd, The Blue Mountains, ON L9Y 3Z2, Canada]>",44.5033715,-80.3121795
68,69,Mt Bachelor ,Bend,Oregon,"9,065","5,700",3365,4318,101,11,462,92,"January 31, 2017","<[OK] Google - Geocode [19717 Mt Bachelor Dr, Bend, OR 97701, USA]>",44.034642,-121.334432
69,70,Mount Hood Meadows ,Portland,Oregon,"7,300","4,523",2777,2150,85,11,430,57,,"<[OK] Google - Geocode [Mt Hood Dr, Portland, OR 97236, USA]>",45.4635794,-122.5325669
70,71,Mont-Sainte-Anne,Beaupré,Quebec,"2,625",575,2050,450,65,13,187,65,,"<[OK] Google - Geocode [2000 Boulevard du Beau Pré, Beaupré, QC G0A 1E0, Canada]>",47.075353,-70.904903
71,72,Mont Tremblant Resort,Mont Tremblant,Quebec,"2,870",750,2120,627,95,14,156,70.35,,"<[OK] Google - Geocode [3035 Chemin de la Chapelle, Mont-Tremblant, QC J8E 1E1, Canada]>",46.2138967,-74.5858377
72,73,Le Massif,Petite-Rivière-Saint-François,Quebec,"2,645",118,2527,410,48,4,248,61,,"<[OK] Google - Geocode [1350 Rue Principale, Petite-Rivière-Saint-François, QC G0A 2L0, Canada]>",47.2848129,-70.5696845
73,74,Brian Head,Brian Head,Utah,"11,307","9,600",1548,650,14,8,370,40,,"<[OK] Google - Geocode [Dixie National Forest, 329 S Hwy 143, Brian Head, UT 84719, USA]>",37.7021487,-112.8498974
74,75,Park City Mountain Resort,Park City,Utah,"10,000","6,900",3100,7300,336,41,360,134,"February 7,2017","<[OK] Google - Geocode [1345 Lowell Ave, Park City, UT 84060, USA]>",40.651465,-111.5078067
75,76,The Canyons,Park City,Utah,"9,990","6,800",3190,4000,183,19,300,107,,"<[OK] Google - Geocode [4000 Canyons Resort Dr, Park City, UT 84098, USA]>",40.6860185,-111.5560689
76,77,Deer Valley,Park City,Utah,"9,570","6,570",3000,2026,100,21,280,86,,"<[OK] Google - Geocode [Deer Valley, Park City, UT 84060, USA]>",40.6229421,-111.4908168
77,78,Brighton Ski Resort ,Salt Lake City,Utah,"10,500","8,755",1745,1500,66,6,500,58,,"<[OK] Google - Geocode [Uinta-Wasatch-Cache National Forest, 8302 S Brighton Loop Rd, Brighton, UT 84121, USA]>",40.5925296,-111.5776277
78,79,Alta Ski Area ,Salt Lake City,Utah,"10,550","8,530",2020,2200,116,10,560,66,,"<[OK] Google - Geocode [Uinta-Wasatch-Cache National Forest, UT-210, Alta, UT 84092, USA]>",40.5908092,-111.6287627
79,80,Snowbird ,Salt Lake City,Utah,"10,992","7,760",3240,2500,85,13,500,72,,"<[OK] Google - Geocode [3165 Millrock Dr #190, Holladay, UT 84121, USA]>",40.6329874,-111.8039425
80,81,Smuggler's Notch,Jeffersonville,Vermont,"3,640","1,030",2610,1000,78,16,288,66,,"<[OK] Google - Geocode [4323 VT-108, Jeffersonsville, VT 05464, USA]>",44.588465,-72.790045
81,82,Windham Mountain,Windham,New York,"3,100","1,500",1600,279,52,12,100,75,"February 14, 2014","<[OK] Google - Geocode [19 Resort Dr, Windham, NY 12496, USA]>",42.2937298,-74.2567116
82,83,Hunter Mountain,Hunter,New York,"3,200","1,600",1600,240,58,10,120,72,"February 14, 2014","<[OK] Google - Geocode [Main St, Hunter, NY 12442, USA]>",42.2044144,-74.2105038
83,84,Killington Ski Resort,Killington,Vermont,"4,241","1,165",3050,1509,191,30,250,77,,"<[OK] Google - Geocode [4763 Killington Rd, Killington, VT 05751, USA]>",43.619801,-72.8027099
84,85,Okemo Mountain,Ludlow,Vermont,"3,344","1,144",2200,632,119,19,200,79,,"<[OK] Google - Geocode [77 Okemo Ridge Rd, Ludlow, VT 05149, USA]>",43.4015593,-72.7170006
85,86,Stowe Mountain Resort,Stowe,Vermont,"3,719","1,559",2160,485,116,13,333,89,,"<[OK] Google - Geocode [Mount Mansfield State Forest, 7416 Mountain Rd, Stowe, VT 05672, USA]>",44.5297321,-72.7792739
86,87,Sugarbush Resort,Warren,Vermont,"4,083","1,483",2600,508,111,16,269,82,,"<[OK] Google - Geocode [1840 Sugarbush Access Rd, Warren, VT 05674, USA]>",44.1361071,-72.894423
87,88,Sugarloaf,Carrabassett Valley,Maine,"4,237","1,417",2820,1153,154,14,200,79,,"<[OK] Google - Geocode [5092 Access Rd, Carrabassett Valley, ME 04947, USA]>",45.0541811,-70.3085109
88,89,Snowshoe Mountain,Marlinton,West Virginia,"4,848","3,348",1500,244,60,14,180,77,,"<[OK] Google - Geocode [Monongahela National Forest, 10 Snowshoe Dr, Snowshoe, WV 26209, USA]>",38.4107965,-79.9936029
89,90,Sunshine Village ,Banff,Alberta,"8,954","5,440",3514,3358,107,12,360,82,"January 19, 2013","<[OK] Google - Geocode [1 Sunshine access Rd, Banff, AB T1L 1J5, Canada]>",51.1151858,-115.7632758
90,91,Mt. Norquay ,Banff,Alberta,"8,040","5,500",1650,190,28,5,120,59,"January 19, 2013","<[OK] Google - Geocode [Banff National Park, Mt Norquay Rd, Banff, AB T1L 1B4, Canada]>",51.2037551,-115.5982857
91,92,Grouse Mountain ,North Vancouver,British Columbia,"4,039",899,1198,212,26,5,120,58,"April 2, 2013","<[OK] Google - Geocode [Grouse Mountain, 6400 Nancy Greene Way, North Vancouver, BC V7R 4K9, Canada]>",49.3722894,-123.0994869
92,93,Mount Seymour ,North Vancouver,British Columbia,"4,150",935,1083,200,23,5,394,51,"April 2, 2013","<[OK] Google - Geocode [Mount Seymour, North Vancouver, BC V7H, Canada]>",49.3933333,-122.9444444
93,94,Cypress Mountain ,West Vancouver,British Columbia,"4,724","2,985",2001,600,53,6,245,60,"April 2, 2013","<[OK] Google - Geocode [Cypress Provincial Park, 6000 Cypress Bowl Rd, Vancouver, BC V0N 1G0, Canada]>",49.396018,-123.204545
94,95,Stevens Pass ,Stevens Pass,Washington,"5,845","4,061",1800,1125,37,10,450,65,"July 8, 2013","<[OK] Google - Geocode [Stevens Pass, Washington 98826, USA]>",47.7462223,-121.0859328
95,96,Sun Peaks Resort,Kamloops,British Columbia,"7,060","4,116",2891,4270,125,11,220,79,"December 18, 2013","<[OK] Google - Geocode [1280 Alpine Road, Sun Peaks, BC V0E 5N0, Canada]>",50.8844485,-119.8859113
96,97,Crystal Mountain,Enumclaw,Washington,"7,012","3,912",3100,2600,57,12,350,66,"January 26, 2014","<[OK] Google - Geocode [Mt. Baker-Snoqualmie National Forest, Enumclaw, WA 98022, USA]>",46.9281666,-121.5045349
97,98,Red Mountain Resort ,Rossland,British Columbia,6807,3887,2919,2887,110,7,300,79,"October 31, 2014","<[OK] Google - Geocode [4300 Red Mountain Rd, Rossland, BC V0G 1Y0, Canada]>",49.1024147,-117.8194705
98,99,Mt Baker ,Glacier,Washington,5089,3500,1589,1000,31,10,641,58,"December 5, 2015","<[OK] Google - Geocode [Mt Baker Hwy, Deming, WA 98244, USA]>",48.8884996,-121.9384047
99,100,Whiteface Mountain,Lake Placid,New York,"4,650","1,220",3430,314,87,11,168,92,"February 16, 2016","<[OK] Google - Geocode [Whiteface Mountain, Wilmington, NY 12997, USA]>",44.3658804,-73.9026456